epoch,iso,elapsed_h,gpu,util_pct,mem_used_mb,mem_total_mb,our_trial_procs,foreign_mem_mb,verdict,journal_nodes,best_val_bpb,current_node
1787500645.5482943,2026-08-23T15:57:25Z,0.00,0,0,3000,143771,3,2974,STARTUP_OR_EVAL,30,0.97289,4224e469
1787502445.5628726,2026-08-23T16:27:25Z,0.50,0,99,71982,143771,36,2974,TRAINING,33,0.972139,f5ee9e18
1787504245.577038,2026-08-23T16:57:25Z,1.00,0,70,71982,143771,36,2974,TRAINING,36,0.970759,126f7484
1787506045.5914764,2026-08-23T17:27:25Z,1.50,0,100,71982,143771,36,2974,TRAINING,40,0.970344,17210a01
1787507845.6056118,2026-08-23T17:57:25Z,2.00,0,0,3000,143771,3,2974,STARTUP_OR_EVAL,44,0.970344,91077332
1787509645.6194935,2026-08-23T18:27:25Z,2.50,0,0,3002,143771,3,2974,STARTUP_OR_EVAL,48,0.970168,1aab41f8
1787511445.6335027,2026-08-23T18:57:25Z,3.00,0,100,71982,143771,36,2974,TRAINING,51,0.969635,4d3e0ae9
1787513245.6474864,2026-08-23T19:27:25Z,3.50,0,100,71980,143771,36,2974,TRAINING,55,0.969635,342d3821
1787515045.6615922,2026-08-23T19:57:25Z,4.00,0,0,3002,143771,3,2974,STARTUP_OR_EVAL,59,0.969635,c9015b04
1787516845.6770387,2026-08-23T20:27:25Z,4.50,0,99,65846,143771,36,2974,TRAINING,62,0.969635,eccb9e53
1787518645.6911197,2026-08-23T20:57:25Z,5.00,0,0,3002,143771,3,2974,STARTUP_OR_EVAL,66,0.969635,56eddb52
1787520445.7049491,2026-08-23T21:27:25Z,5.50,0,100,71982,143771,36,2974,TRAINING,69,0.969635,2f9c8911
1787522245.719127,2026-08-23T21:57:25Z,6.00,0,100,86988,143771,36,2974,TRAINING,73,0.969635,5fc8be22
1787524045.7330627,2026-08-23T22:27:25Z,6.50,0,0,3000,143771,3,2974,STARTUP_OR_EVAL,77,0.969635,a2ba9db4
1787525845.747209,2026-08-23T22:57:25Z,7.00,0,100,39800,143771,36,2974,TRAINING,80,0.969635,e460cd75
1787527645.7615426,2026-08-23T23:27:25Z,7.50,0,100,88174,143771,36,2974,TRAINING,83,0.969635,07cffa19
1787529445.7756605,2026-08-23T23:57:25Z,8.00,0,0,3000,143771,3,2974,STARTUP_OR_EVAL,87,0.969635,ffb6c87d
1787531245.789901,2026-08-24T00:27:25Z,8.50,0,100,71982,143771,36,2974,TRAINING,90,0.969626,ecd181ff
1787533045.8040302,2026-08-24T00:57:25Z,9.00,0,100,71980,143771,36,2974,TRAINING,94,0.969626,bd73f21f
1787534845.8178043,2026-08-24T01:27:25Z,9.50,0,84,11232,143771,36,2974,TRAINING,98,0.969626,a507160f
1787536645.8316293,2026-08-24T01:57:25Z,10.00,0,51,71982,143771,36,2974,TRAINING,101,0.969615,42465468
1787538445.8455195,2026-08-24T02:27:25Z,10.50,0,100,105118,143771,0,105086,IDLE,103,0.969615,92218b44
