epoch	iso_utc	elapsed_s	gpu	name	util_pct	mem_used_mb	mem_total_mb	ours	ctrl_alive	trials	champion
1787299084.456	2026-08-21T07:58:04Z	0	0	NVIDIA H200	2	3656	143771	yes	alive	111	0.967286
1787299084.456	2026-08-21T07:58:04Z	0	1	NVIDIA H200	100	106117	143771	no	alive	111	0.967286
1787299084.456	2026-08-21T07:58:04Z	0	2	NVIDIA H200	100	104047	143771	no	alive	111	0.967286
1787299084.456	2026-08-21T07:58:04Z	0	3	NVIDIA H200	99	52249	143771	no	alive	111	0.967286
1787299084.456	2026-08-21T07:58:04Z	0	4	NVIDIA H200	100	105573	143771	no	alive	111	0.967286
1787299084.456	2026-08-21T07:58:04Z	0	5	NVIDIA H200	19	12747	143771	no	alive	111	0.967286
1787299084.456	2026-08-21T07:58:04Z	0	6	NVIDIA H200	20	12747	143771	no	alive	111	0.967286
1787299084.456	2026-08-21T07:58:04Z	0	7	NVIDIA H200	100	104047	143771	no	alive	111	0.967286
1787300884.671	2026-08-21T08:28:04Z	1800	0	NVIDIA H200	93	107122	143771	yes	down	113	0.967286
1787300884.671	2026-08-21T08:28:04Z	1800	1	NVIDIA H200	100	104047	143771	no	down	113	0.967286
1787300884.671	2026-08-21T08:28:04Z	1800	2	NVIDIA H200	100	104047	143771	no	down	113	0.967286
1787300884.671	2026-08-21T08:28:04Z	1800	3	NVIDIA H200	100	50685	143771	no	down	113	0.967286
1787300884.671	2026-08-21T08:28:04Z	1800	4	NVIDIA H200	0	4	143771	no	down	113	0.967286
1787300884.671	2026-08-21T08:28:04Z	1800	5	NVIDIA H200	18	12747	143771	no	down	113	0.967286
1787300884.671	2026-08-21T08:28:04Z	1800	6	NVIDIA H200	19	12747	143771	no	down	113	0.967286
1787300884.671	2026-08-21T08:28:04Z	1800	7	NVIDIA H200	100	104047	143771	no	down	113	0.967286
1787302684.888	2026-08-21T08:58:04Z	3600	0	NVIDIA H200	0	2187	143771	yes	down	113	0.967286
1787302684.888	2026-08-21T08:58:04Z	3600	1	NVIDIA H200	100	104047	143771	no	down	113	0.967286
1787302684.888	2026-08-21T08:58:04Z	3600	2	NVIDIA H200	100	104047	143771	no	down	113	0.967286
1787302684.888	2026-08-21T08:58:04Z	3600	3	NVIDIA H200	9	28389	143771	no	down	113	0.967286
1787302684.888	2026-08-21T08:58:04Z	3600	4	NVIDIA H200	100	104047	143771	no	down	113	0.967286
1787302684.888	2026-08-21T08:58:04Z	3600	5	NVIDIA H200	18	12747	143771	no	down	113	0.967286
1787302684.888	2026-08-21T08:58:04Z	3600	6	NVIDIA H200	20	12747	143771	no	down	113	0.967286
1787302684.888	2026-08-21T08:58:04Z	3600	7	NVIDIA H200	99	104047	143771	no	down	113	0.967286
1787304485.098	2026-08-21T09:28:05Z	5401	0	NVIDIA H200	46	9200	143771	yes	alive	114	0.967286
1787304485.098	2026-08-21T09:28:05Z	5401	1	NVIDIA H200	100	104047	143771	no	alive	114	0.967286
1787304485.098	2026-08-21T09:28:05Z	5401	2	NVIDIA H200	100	104047	143771	no	alive	114	0.967286
1787304485.098	2026-08-21T09:28:05Z	5401	3	NVIDIA H200	8	50689	143771	no	alive	114	0.967286
1787304485.098	2026-08-21T09:28:05Z	5401	4	NVIDIA H200	100	104047	143771	no	alive	114	0.967286
1787304485.098	2026-08-21T09:28:05Z	5401	5	NVIDIA H200	19	12747	143771	no	alive	114	0.967286
1787304485.098	2026-08-21T09:28:05Z	5401	6	NVIDIA H200	20	12747	143771	no	alive	114	0.967286
1787304485.098	2026-08-21T09:28:05Z	5401	7	NVIDIA H200	100	104047	143771	no	alive	114	0.967286
1787306285.266	2026-08-21T09:58:05Z	7201	0	NVIDIA H200	100	22252	143771	yes	alive	115	0.967286
